x_mm,y_mm,irradiance_lux
-1500.00,-1500.00,16.615486
-1470.00,-1500.00,17.170779
-1440.00,-1500.00,17.743446
-1410.00,-1500.00,18.345501
-1380.00,-1500.00,18.978054
-1350.00,-1500.00,19.593441
-1320.00,-1500.00,20.264285
-1290.00,-1500.00,20.955059
-1260.00,-1500.00,21.625956
-1230.00,-1500.00,22.355789
-1200.00,-1500.00,23.105725
-1170.00,-1500.00,23.832332
-1140.00,-1500.00,24.635990
-1110.00,-1500.00,25.429315
-1080.00,-1500.00,26.241410
-1050.00,-1500.00,27.087612
-1020.00,-1500.00,27.918792
-990.00,-1500.00,28.800083
-960.00,-1500.00,29.681181
-930.00,-1500.00,30.577157
-900.00,-1500.00,31.486917
-870.00,-1500.00,32.410140
-840.00,-1500.00,33.344619
-810.00,-1500.00,34.269369
-780.00,-1500.00,35.242053
-750.00,-1500.00,36.180696
-720.00,-1500.00,37.123730
-690.00,-1500.00,38.089508
-660.00,-1500.00,39.055398
-630.00,-1500.00,39.974524
-600.00,-1500.00,40.887146
-570.00,-1500.00,41.836950
-540.00,-1500.00,42.729308
-510.00,-1500.00,43.606844
-480.00,-1500.00,44.466603
-450.00,-1500.00,45.305567
-420.00,-1500.00,46.095974
-390.00,-1500.00,46.857901
-360.00,-1500.00,47.564031
-330.00,-1500.00,48.287908
-300.00,-1500.00,48.896820
-270.00,-1500.00,49.464908
-240.00,-1500.00,50.070832
-210.00,-1500.00,50.469928
-180.00,-1500.00,50.956670
-150.00,-1500.00,51.284362
-120.00,-1500.00,51.532391
-90.00,-1500.00,51.837087
-60.00,-1500.00,52.032842
-30.00,-1500.00,52.117132
0.00,-1500.00,52.145280
30.00,-1500.00,52.117132
60.00,-1500.00,52.032842
90.00,-1500.00,51.837087
120.00,-1500.00,51.532391
150.00,-1500.00,51.284362
180.00,-1500.00,50.956670
210.00,-1500.00,50.469928
240.00,-1500.00,50.070832
270.00,-1500.00,49.464908
300.00,-1500.00,48.896820
330.00,-1500.00,48.287908
360.00,-1500.00,47.564031
390.00,-1500.00,46.857901
420.00,-1500.00,46.095974
450.00,-1500.00,45.305567
480.00,-1500.00,44.466603
510.00,-1500.00,43.606844
540.00,-1500.00,42.729308
570.00,-1500.00,41.836950
600.00,-1500.00,40.887146
630.00,-1500.00,39.974524
660.00,-1500.00,39.055398
690.00,-1500.00,38.089508
720.00,-1500.00,37.123730
750.00,-1500.00,36.180696
780.00,-1500.00,35.242053
810.00,-1500.00,34.269369
840.00,-1500.00,33.344619
870.00,-1500.00,32.410140
900.00,-1500.00,31.486917
930.00,-1500.00,30.577157
960.00,-1500.00,29.681181
990.00,-1500.00,28.800083
1020.00,-1500.00,27.918792
1050.00,-1500.00,27.087612
1080.00,-1500.00,26.241410
1110.00,-1500.00,25.429315
1140.00,-1500.00,24.635990
1170.00,-1500.00,23.832332
1200.00,-1500.00,23.105725
1230.00,-1500.00,22.355789
1260.00,-1500.00,21.625956
1290.00,-1500.00,20.955059
1320.00,-1500.00,20.264285
1350.00,-1500.00,19.593441
1380.00,-1500.00,18.978054
1410.00,-1500.00,18.345501
1440.00,-1500.00,17.743446
1470.00,-1500.00,17.170779
1500.00,-1500.00,16.615486
-1500.00,-1470.00,17.170777
-1470.00,-1470.00,17.753928
-1440.00,-1470.00,18.379291
-1410.00,-1470.00,19.013009
-1380.00,-1470.00,19.654720
-1350.00,-1470.00,20.341691
-1320.00,-1470.00,21.036849
-1290.00,-1470.00,21.753210
-1260.00,-1470.00,22.517942
-1230.00,-1470.00,23.248970
-1200.00,-1470.00,24.057992
-1170.00,-1470.00,24.859633
-1140.00,-1470.00,25.682617
-1110.00,-1470.00,26.557800
-1080.00,-1470.00,27.406870
-1050.00,-1470.00,28.325025
-1020.00,-1470.00,29.212809
-990.00,-1470.00,30.171825
-960.00,-1470.00,31.114310
-930.00,-1470.00,32.055830
-900.00,-1470.00,33.069234
-870.00,-1470.00,34.060320
-840.00,-1470.00,35.064429
-810.00,-1470.00,36.080947
-780.00,-1470.00,37.107134
-750.00,-1470.00,38.162641
-720.00,-1470.00,39.181469
-690.00,-1470.00,40.225191
-660.00,-1470.00,41.224199
-630.00,-1470.00,42.290127
-600.00,-1470.00,43.304441
-570.00,-1470.00,44.286394
-540.00,-1470.00,45.305583
-510.00,-1470.00,46.260635
-480.00,-1470.00,47.196883
-450.00,-1470.00,48.110951
-420.00,-1470.00,48.999409
-390.00,-1470.00,49.832445
-360.00,-1470.00,50.631313
-330.00,-1470.00,51.366783
-300.00,-1470.00,52.117098
-270.00,-1470.00,52.740757
-240.00,-1470.00,53.316794
-210.00,-1470.00,53.900279
-180.00,-1470.00,54.316654
-150.00,-1470.00,54.706978
-120.00,-1470.00,55.097256
-90.00,-1470.00,55.312651
-60.00,-1470.00,55.467365
-30.00,-1470.00,55.560540
0.00,-1470.00,55.591657
30.00,-1470.00,55.560540
60.00,-1470.00,55.467365
90.00,-1470.00,55.312651
120.00,-1470.00,55.097256
150.00,-1470.00,54.706978
180.00,-1470.00,54.316654
210.00,-1470.00,53.900279
240.00,-1470.00,53.316794
270.00,-1470.00,52.740757
300.00,-1470.00,52.117098
330.00,-1470.00,51.366783
360.00,-1470.00,50.631313
390.00,-1470.00,49.832445
420.00,-1470.00,48.999409
450.00,-1470.00,48.110951
480.00,-1470.00,47.196883
510.00,-1470.00,46.260635
540.00,-1470.00,45.305583
570.00,-1470.00,44.286394
600.00,-1470.00,43.304441
630.00,-1470.00,42.290127
660.00,-1470.00,41.224199
690.00,-1470.00,40.225191
720.00,-1470.00,39.181469
750.00,-1470.00,38.162641
780.00,-1470.00,37.107134
810.00,-1470.00,36.080947
840.00,-1470.00,35.064429
870.00,-1470.00,34.060320
900.00,-1470.00,33.069234
930.00,-1470.00,32.055830
960.00,-1470.00,31.114310
990.00,-1470.00,30.171825
1020.00,-1470.00,29.212809
1050.00,-1470.00,28.325025
1080.00,-1470.00,27.406870
1110.00,-1470.00,26.557800
1140.00,-1470.00,25.682617
1170.00,-1470.00,24.859633
1200.00,-1470.00,24.057992
1230.00,-1470.00,23.248970
1260.00,-1470.00,22.517942
1290.00,-1470.00,21.753210
1320.00,-1470.00,21.036849
1350.00,-1470.00,20.341691
1380.00,-1470.00,19.654720
1410.00,-1470.00,19.013009
1440.00,-1470.00,18.379291
1470.00,-1470.00,17.753928
1500.00,-1470.00,17.170777
-1500.00,-1440.00,17.743449
-1470.00,-1440.00,18.379291
-1440.00,-1440.00,19.024684
-1410.00,-1440.00,19.679343
-1380.00,-1440.00,20.393157
-1350.00,-1440.00,21.091671
-1320.00,-1440.00,21.852313
-1290.00,-1440.00,22.609485
-1260.00,-1440.00,23.389989
-1230.00,-1440.00,24.222714
-1200.00,-1440.00,25.050595
-1170.00,-1440.00,25.932517
-1140.00,-1440.00,26.791995
-1110.00,-1440.00,27.722617
-1080.00,-1440.00,28.644133
-1050.00,-1440.00,29.622717
-1020.00,-1440.00,30.589426
-990.00,-1440.00,31.613955
-960.00,-1440.00,32.623215
-930.00,-1440.00,33.690513
-900.00,-1440.00,34.718295
-870.00,-1440.00,35.802991
-840.00,-1440.00,36.904153
-810.00,-1440.00,37.977673
-780.00,-1440.00,39.127360
-750.00,-1440.00,40.244012
-720.00,-1440.00,41.368117
-690.00,-1440.00,42.497043
-660.00,-1440.00,43.628201
-630.00,-1440.00,44.758690
-600.00,-1440.00,45.885159
-570.00,-1440.00,46.979478
-540.00,-1440.00,48.061303
-510.00,-1440.00,49.101878
-480.00,-1440.00,50.149879
-450.00,-1440.00,51.174697
-420.00,-1440.00,52.145211
-390.00,-1440.00,53.056220
-360.00,-1440.00,53.959633
-330.00,-1440.00,54.766006
-300.00,-1440.00,55.498357
-270.00,-1440.00,56.271372
-240.00,-1440.00,56.904617
-210.00,-1440.00,57.482427
-180.00,-1440.00,58.033445
-150.00,-1440.00,58.461821
-120.00,-1440.00,58.765915
-90.00,-1440.00,59.189643
-60.00,-1440.00,59.361415
-30.00,-1440.00,59.464878
0.00,-1440.00,59.499432
30.00,-1440.00,59.464878
60.00,-1440.00,59.361415
90.00,-1440.00,59.189643
120.00,-1440.00,58.765915
150.00,-1440.00,58.461821
180.00,-1440.00,58.033445
210.00,-1440.00,57.482427
240.00,-1440.00,56.904617
270.00,-1440.00,56.271372
300.00,-1440.00,55.498357
330.00,-1440.00,54.766006
360.00,-1440.00,53.959633
390.00,-1440.00,53.056220
420.00,-1440.00,52.145211
450.00,-1440.00,51.174697
480.00,-1440.00,50.149879
510.00,-1440.00,49.101878
540.00,-1440.00,48.061303
570.00,-1440.00,46.979478
600.00,-1440.00,45.885159
630.00,-1440.00,44.758690
660.00,-1440.00,43.628201
690.00,-1440.00,42.497043
720.00,-1440.00,41.368117
750.00,-1440.00,40.244012
780.00,-1440.00,39.127360
810.00,-1440.00,37.977673
840.00,-1440.00,36.904153
870.00,-1440.00,35.802991
900.00,-1440.00,34.718295
930.00,-1440.00,33.690513
960.00,-1440.00,32.623215
990.00,-1440.00,31.613955
1020.00,-1440.00,30.589426
1050.00,-1440.00,29.622717
1080.00,-1440.00,28.644133
1110.00,-1440.00,27.722617
1140.00,-1440.00,26.791995
1170.00,-1440.00,25.932517
1200.00,-1440.00,25.050595
1230.00,-1440.00,24.222714
1260.00,-1440.00,23.389989
1290.00,-1440.00,22.609485
1320.00,-1440.00,21.852313
1350.00,-1440.00,21.091671
1380.00,-1440.00,20.393157
1410.00,-1440.00,19.679343
1440.00,-1440.00,19.024684
1470.00,-1440.00,18.379291
1500.00,-1440.00,17.743449
-1500.00,-1410.00,18.345496
-1470.00,-1410.00,19.013006
-1440.00,-1410.00,19.679345
