theta_deg,phi_deg,irradiance_lux
0.00,0.00,2395.65846119
0.00,5.01,2395.65846119
0.00,10.03,2395.65846119
0.00,15.04,2395.65846119
0.00,20.06,2395.65846119
0.00,25.07,2395.65846119
0.00,30.08,2395.65846119
0.00,35.10,2395.65846119
0.00,40.11,2395.65846119
0.00,45.13,2395.65846119
0.00,50.14,2395.65846119
0.00,55.15,2395.65846119
0.00,60.17,2395.65846119
0.00,65.18,2395.65846119
0.00,70.19,2395.65846119
0.00,75.21,2395.65846119
0.00,80.22,2395.65846119
0.00,85.24,2395.65846119
0.00,90.25,2395.65846119
0.00,95.26,2395.65846119
0.00,100.28,2395.65846119
0.00,105.29,2395.65846119
0.00,110.31,2395.65846119
0.00,115.32,2395.65846119
0.00,120.33,2395.65846119
0.00,125.35,2395.65846119
0.00,130.36,2395.65846119
0.00,135.38,2395.65846119
0.00,140.39,2395.65846119
0.00,145.40,2395.65846119
0.00,150.42,2395.65846119
0.00,155.43,2395.65846119
0.00,160.45,2395.65846119
0.00,165.46,2395.65846119
0.00,170.47,2395.65846119
0.00,175.49,2395.65846119
0.00,180.50,2395.65846119
0.00,185.52,2395.65846119
0.00,190.53,2395.65846119
0.00,195.54,2395.65846119
0.00,200.56,2395.65846119
0.00,205.57,2395.65846119
0.00,210.58,2395.65846119
0.00,215.60,2395.65846119
0.00,220.61,2395.65846119
0.00,225.63,2395.65846119
0.00,230.64,2395.65846119
0.00,235.65,2395.65846119
0.00,240.67,2395.65846119
0.00,245.68,2395.65846119
0.00,250.70,2395.65846119
0.00,255.71,2395.65846119
0.00,260.72,2395.65846119
0.00,265.74,2395.65846119
0.00,270.75,2395.65846119
0.00,275.77,2395.65846119
0.00,280.78,2395.65846119
0.00,285.79,2395.65846119
0.00,290.81,2395.65846119
0.00,295.82,2395.65846119
0.00,300.84,2395.65846119
0.00,305.85,2395.65846119
0.00,310.86,2395.65846119
0.00,315.88,2395.65846119
0.00,320.89,2395.65846119
0.00,325.91,2395.65846119
0.00,330.92,2395.65846119
0.00,335.93,2395.65846119
0.00,340.95,2395.65846119
0.00,345.96,2395.65846119
0.00,350.97,2395.65846119
0.00,355.99,2395.65846119
4.00,0.00,2387.97769522
4.00,5.01,2387.93379450
4.00,10.03,2387.93384766
4.00,15.04,2387.93373569
4.00,20.06,2387.93365415
4.00,25.07,2387.93360431
4.00,30.08,2387.93380001
4.00,35.10,2387.93360435
4.00,40.11,2387.93365421
4.00,45.13,2387.93373574
4.00,50.14,2387.93384766
4.00,55.15,2387.93379463
4.00,60.17,2387.97769520
4.00,65.18,2387.97771654
4.00,70.19,2387.93384763
4.00,75.21,2387.93373560
4.00,80.22,2387.93365405
4.00,85.24,2387.93360423
4.00,90.25,2387.93379998
4.00,95.26,2387.97768966
4.00,100.28,2387.93365424
4.00,105.29,2387.93373576
4.00,110.31,2387.93384762
4.00,115.32,2387.93379473
4.00,120.33,2387.97769515
4.00,125.35,2387.97771666
4.00,130.36,2387.93384756
4.00,135.38,2387.93373548
4.00,140.39,2387.93365391
4.00,145.40,2387.93360412
4.00,150.42,2387.93379991
4.00,155.43,2387.97768978
4.00,160.45,2387.93365423
4.00,165.46,2387.88967593
4.00,170.47,2387.93384754
4.00,175.49,2387.93379479
4.00,180.50,2387.97769506
4.00,185.52,2387.97771674
4.00,190.53,2387.93384746
4.00,195.54,2387.93373532
4.00,200.56,2387.93365374
4.00,205.57,2387.93360398
4.00,210.58,2387.93379980
4.00,215.60,2387.97768986
4.00,220.61,2387.93365419
4.00,225.63,2387.88967613
4.00,230.64,2387.93384742
4.00,235.65,2387.93379482
4.00,240.67,2387.97769494
4.00,245.68,2387.97771678
4.00,250.70,2387.93384732
4.00,255.71,2387.93373512
4.00,260.72,2387.97772231
4.00,265.74,2387.93360380
4.00,270.75,2387.93379965
4.00,275.77,2387.97768991
4.00,280.78,2387.93365412
4.00,285.79,2387.88967630
4.00,290.81,2387.93384727
4.00,295.82,2387.93379481
4.00,300.84,2387.97769478
4.00,305.85,2387.97771680
4.00,310.86,2387.93384714
4.00,315.88,2387.93373489
4.00,320.89,2387.97772229
4.00,325.91,2387.93360359
4.00,330.92,2387.93379947
4.00,335.93,2387.97768993
4.00,340.95,2387.93365401
4.00,345.96,2387.88967643
4.00,350.97,2387.93384709
4.00,355.99,2387.93379476
8.00,0.00,2377.54732483
8.00,5.01,2377.50325162
8.00,10.03,2377.54717441
8.00,15.04,2377.54687238
8.00,20.06,2377.59092011
8.00,25.07,2377.59124309
8.00,30.08,2377.59078761
8.00,35.10,2377.54706825
8.00,40.11,2377.59092024
8.00,45.13,2377.54687230
8.00,50.14,2377.54717495
8.00,55.15,2377.54708622
8.00,60.17,2377.50322909
8.00,65.18,2377.50325128
8.00,70.19,2377.54717380
8.00,75.21,2377.54687238
8.00,80.22,2377.54713342
8.00,85.24,2377.59124305
8.00,90.25,2377.54702519
8.00,95.26,2377.54706856
8.00,100.28,2377.59092029
8.00,105.29,2377.54687216
8.00,110.31,2377.54717542
8.00,115.32,2377.54708700
8.00,120.33,2377.50322960
8.00,125.35,2377.50325086
8.00,130.36,2377.54717312
8.00,135.38,2377.54687232
8.00,140.39,2377.54713361
8.00,145.40,2377.59124293
8.00,150.42,2377.54702540
8.00,155.43,2377.54706881
8.00,160.45,2377.59092028
8.00,165.46,2377.54687195
8.00,170.47,2377.54717581
8.00,175.49,2377.54708772
8.00,180.50,2377.50323005
8.00,185.52,2377.50329135
8.00,190.53,2377.54717236
8.00,195.54,2377.54687219
8.00,200.56,2377.54713373
8.00,205.57,2377.59124274
8.00,210.58,2377.54702554
8.00,215.60,2377.54706898
8.00,220.61,2377.59092019
8.00,225.63,2377.50313362
8.00,230.64,2377.54717614
8.00,235.65,2377.54708836
8.00,240.67,2377.50323042
8.00,245.68,2377.50329203
8.00,250.70,2377.50311688
8.00,255.71,2377.54687199
8.00,260.72,2377.54713377
8.00,265.74,2377.59124248
8.00,270.75,2377.54702561
8.00,275.77,2377.54706908
8.00,280.78,2377.59092004
8.00,285.79,2377.50313344
8.00,290.81,2377.54717639
8.00,295.82,2377.54708893
8.00,300.84,2377.50323071
8.00,305.85,2377.50329263
8.00,310.86,2377.50311666
8.00,315.88,2377.50283832
8.00,320.89,2377.50312136
8.00,325.91,2377.54725106
8.00,330.92,2377.54702561
8.00,335.93,2377.54706911
8.00,340.95,2377.59091982
8.00,345.96,2377.50313320
8.00,350.97,2377.54717657
8.00,355.99,2377.54708943
12.00,0.00,2377.40143300
12.00,5.01,2377.44518973
12.00,10.03,2377.48924118
12.00,15.04,2377.48969245
12.00,20.06,2377.44560750
12.00,25.07,2377.44512496
12.00,30.08,2377.44580542
12.00,35.10,2377.44512500
12.00,40.11,2377.44560731
12.00,45.13,2377.48969256
12.00,50.14,2377.48924037
12.00,55.15,2377.44518934
12.00,60.17,2377.44522386
12.00,65.18,2377.44519023
12.00,70.19,2377.48924209
12.00,75.21,2377.48969245
12.00,80.22,2377.44560779
12.00,85.24,2377.44512502
12.00,90.25,2377.44580552
12.00,95.26,2377.48939948
12.00,100.28,2377.44560723
12.00,105.29,2377.48969277
12.00,110.31,2377.48923967
12.00,115.32,2377.44518905
12.00,120.33,2377.44522310
12.00,125.35,2377.44519084
12.00,130.36,2377.44562575
12.00,135.38,2377.48969254
12.00,140.39,2377.44560818
12.00,145.40,2377.44512519
12.00,150.42,2377.44580572
12.00,155.43,2377.48939911
12.00,160.45,2377.44560725
12.00,165.46,2377.48969309
12.00,170.47,2377.48923908
12.00,175.49,2377.48937067
12.00,180.50,2377.44522246
12.00,185.52,2377.44519156
12.00,190.53,2377.44562669
12.00,195.54,2377.48969274
12.00,200.56,2377.44560868
12.00,205.57,2377.44512547
12.00,210.58,2377.44580603
12.00,215.60,2377.48939885
12.00,220.61,2377.44560738
12.00,225.63,2377.48969351
12.00,230.64,2377.48923859
12.00,235.65,2377.48936971
12.00,240.67,2377.44522192
12.00,245.68,2377.44519238
12.00,250.70,2377.44562773
12.00,255.71,2377.48969305
12.00,260.72,2377.44560929
12.00,265.74,2377.44512586
12.00,270.75,2377.44580644
12.00,275.77,2377.48939869
12.00,280.78,2377.44560761
12.00,285.79,2377.48969403
12.00,290.81,2377.48923822
12.00,295.82,2377.48936886
12.00,300.84,2377.44522149
12.00,305.85,2377.44519332
12.00,310.86,2377.40141467
12.00,315.88,2377.48969345
12.00,320.89,2377.44560999
12.00,325.91,2377.44512636
12.00,330.92,2377.44580695
12.00,335.93,2377.48939864
12.00,340.95,2377.44560794
12.00,345.96,2377.48969466
12.00,350.97,2377.48923794
12.00,355.99,2377.48936811
16.00,0.00,2387.97828338
16.00,5.01,2387.97819790
16.00,10.03,2388.11049647
16.00,15.04,2388.06650669
16.00,20.06,2388.06601839
16.00,25.07,2388.11063143
16.00,30.08,2388.06628075
16.00,35.10,2388.15417087
16.00,40.11,2388.06601815
16.00,45.13,2388.06650585
16.00,50.14,2388.11049588
16.00,55.15,2387.97819877
16.00,60.17,2387.97828345
16.00,65.18,2387.97819717
16.00,70.19,2388.11049718
16.00,75.21,2388.06650767
16.00,80.22,2388.06601878
16.00,85.24,2388.11063114
16.00,90.25,2388.06628088
16.00,95.26,2388.15417085
16.00,100.28,2388.06601804
16.00,105.29,2388.06650515
16.00,110.31,2388.11049543
16.00,115.32,2388.02196725
16.00,120.33,2387.97828365
16.00,125.35,2387.97819658
16.00,130.36,2388.11049803
16.00,135.38,2388.06650878
16.00,140.39,2388.06601930
16.00,145.40,2388.11063098
16.00,150.42,2388.06628115
16.00,155.43,2388.15417096
16.00,160.45,2388.06601807
16.00,165.46,2388.06650458
16.00,170.47,2388.11049512
16.00,175.49,2388.06621722
16.00,180.50,2387.97828399
16.00,185.52,2387.97819613
16.00,190.53,2388.11049902
16.00,195.54,2388.11014081
16.00,200.56,2388.06601996
16.00,205.57,2388.11063096
16.00,210.58,2388.06628156
16.00,215.60,2388.10975130
16.00,220.61,2388.06601824
16.00,225.63,2388.06650414
16.00,230.64,2388.11049494
16.00,235.65,2388.06621605
16.00,240.67,2387.97828447
16.00,245.68,2387.97819581
16.00,250.70,2388.06668604
16.00,255.71,2388.11014121
16.00,260.72,2388.06602075
16.00,265.74,2388.06625284
16.00,270.75,2388.06628210
16.00,275.77,2388.10975109
16.00,280.78,2388.06601854
16.00,285.79,2388.06650383
16.00,290.81,2388.11049489
16.00,295.82,2388.06621502
16.00,300.84,2387.97828508
16.00,305.85,2387.97819563
16.00,310.86,2388.06668597
16.00,315.88,2388.11014176
16.00,320.89,2388.06602169
16.00,325.91,2388.06625227
16.00,330.92,2388.06628278
16.00,335.93,2388.10975102
16.00,340.95,2388.06601899
16.00,345.96,2388.06650366
16.00,350.97,2388.11049498
16.00,355.99,2388.06621413
20.00,0.00,2396.92070080
20.00,5.01,2396.96502498
20.00,10.03,2396.96507515
20.00,15.04,2396.96486159
20.00,20.06,2396.96483134
20.00,25.07,2397.14072891
20.00,30.08,2397.14071146
20.00,35.10,2397.14072921
20.00,40.11,2396.96483192
20.00,45.13,2396.96486241
20.00,50.14,2396.96507326
20.00,55.15,2396.96502326
20.00,60.17,2396.92070081
20.00,65.18,2396.92070359
20.00,70.19,2396.96507705
20.00,75.21,2396.96486077
20.00,80.22,2396.96483077
20.00,85.24,2397.14072863
20.00,90.25,2397.14071148
20.00,95.26,2397.14072951
20.00,100.28,2396.96483251
20.00,105.29,2396.96486326
20.00,110.31,2396.96507137
20.00,115.32,2396.96502155
20.00,120.33,2396.92070082
20.00,125.35,2396.92070386
20.00,130.36,2396.96507896
20.00,135.38,2396.96485996
20.00,140.39,2396.96483022
20.00,145.40,2397.14072836
20.00,150.42,2397.14071150
20.00,155.43,2397.14072983
20.00,160.45,2396.96483312
20.00,165.46,2396.96486411
20.00,170.47,2396.92130506
20.00,175.49,2396.96501985
20.00,180.50,2396.92070085
20.00,185.52,2396.92070416
20.00,190.53,2396.96508088
20.00,195.54,2397.00868325
20.00,200.56,2396.96482967
20.00,205.57,2397.14072810
20.00,210.58,2397.14071153
20.00,215.60,2397.14073016
20.00,220.61,2396.96483373
20.00,225.63,2396.96486497
20.00,230.64,2396.96490082
20.00,235.65,2396.96501815
20.00,240.67,2396.92070089
20.00,245.68,2396.92070446
20.00,250.70,2396.96508281
20.00,255.71,2397.00868415
20.00,260.72,2396.96482913
20.00,265.74,2397.14072785
20.00,270.75,2397.14071158
20.00,275.77,2397.14073050
20.00,280.78,2396.96483435
20.00,285.79,2396.96486584
20.00,290.81,2396.96490191
20.00,295.82,2396.96501647
20.00,300.84,2396.92070095
20.00,305.85,2396.92070477
20.00,310.86,2396.96508475
20.00,315.88,2397.00868506
20.00,320.89,2396.96482861
20.00,325.91,2397.14072761
20.00,330.92,2397.14071164
20.00,335.93,2397.14073085
20.00,340.95,2396.96483499
20.00,345.96,2396.96486672
20.00,350.97,2396.96490302
